SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-30-2020,Condo/Co-op,7275 SW 89th St Unit B521,Miami,FL,33156,509000,2,2.0,DOWNTOWN DADELAND CONDO N,1565,,2006,68,325,978,Pending,,,https://www.redfin.com/FL/Miami/7275-SW-89th-St-33156/unit-B521/home/43364572,MARMLS,A11137526,N,Y,25.6877773,-80.3131844
MLS Listing,,Condo/Co-op,10900 SW 104th St #218,Miami,FL,33176,225000,2,1.0,THE BERKELEY CONDO,850,,1973,68,265,,Active,,,https://www.redfin.com/FL/Miami/10900-SW-104th-St-33176/unit-218/home/43292609,MARMLS,A11137009,N,Y,25.6714877,-80.3716501
MLS Listing,,Single Family Residential,12600 SW 108th Ave,Miami,FL,33176,799999,4,3.0,PINE SHORE SEC 1,1904,15065,1973,71,420,,Contingent,,,https://www.redfin.com/FL/Miami/12600-SW-108th-Ave-33176/home/43160609,MARMLS,A11135584,N,Y,25.651578,-80.369323
PAST SALE,June-4-2012,Condo/Co-op,7270 SW 89th St Unit C515,Miami,FL,33156,425000,2,2.0,DOWNTOWN DADELAND CONDO N,1468,,2007,71,290,996,Pending,,,https://www.redfin.com/FL/Miami/7270-SW-89th-St-33156/unit-C515/home/43459165,MARMLS,A11135602,N,Y,25.6872504,-80.3125628
MLS Listing,,Condo/Co-op,8065 SW 107th Ave #316,Miami,FL,33173,185000,1,1.5,THE HORIZONS CONDO #5,705,,1980,73,262,350,Active,,,https://www.redfin.com/FL/Miami/8065-SW-107th-Ave-33173/unit-316/home/43095170,MARMLS,A11135316,N,Y,25.6930033,-80.364038
PAST SALE,November-26-2003,Townhouse,11781 SW 103rd Ln,Miami,FL,33186,349900,3,2.5,SPRINGFEVER,1344,,1985,73,260,114,Pending,,,https://www.redfin.com/FL/Miami/11781-SW-103rd-Ln-33186/home/43170451,MARMLS,A11135195,N,Y,25.6729133,-80.3857523
MLS Listing,,Single Family Residential,13920 SW 107th Ave,Miami,FL,33176,1395000,4,3.0,MARY ANN ESTATES 1ST ADDN,3010,15000,1987,75,463,,Active,,,https://www.redfin.com/FL/Miami/13920-SW-107th-Ave-33176/home/43155962,MARMLS,A11133766,N,Y,25.6397742,-80.3670394
PAST SALE,January-26-2015,Townhouse,6980 SW 110th Pl,Miami,FL,33173,369900,3,2.0,SNAPPER CREEK TOWNHOUSES,1378,,1974,75,268,146,Pending,,,https://www.redfin.com/FL/Miami/6980-SW-110th-Pl-33173/home/43082190,MARMLS,A11133504,N,Y,25.7041127,-80.3729658
MLS Listing,,Single Family Residential,8921 SW 94th Ter,Miami,FL,33176,2395000,6,5.0,PINEWOOD HOMES,4559,27722,2003,77,525,,Contingent,,,https://www.redfin.com/FL/Miami/8921-SW-94th-Ter-33176/home/43269935,MARMLS,A11131969,N,Y,25.68213,-80.3397619
MLS Listing,,Condo/Co-op,9952 SW 88th St Unit 323-3,Miami,FL,33176,239900,2,2.0,PUERTA DEL SOL CONDO,1050,,1968,78,228,384,Active,,,https://www.redfin.com/FL/Miami/9952-N-Kendall-Dr-33176/unit-323-3/home/43321751,MARMLS,A11132328,N,Y,25.685664,-80.356992
